lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 43 [14.1s + 29.5s]: HR = 0.7546, NDCG = 0.4740, loss = 0.1753 [11.7s] train_loss = 0.2699 [4.5s]
Epoch 44 [14.1s + 29.1s]: HR = 0.7549, NDCG = 0.4745, loss = 0.1751 [11.7s] train_loss = 0.2693 [4.6s]
Epoch 45 [14.1s + 29.0s]: HR = 0.7556, NDCG = 0.4748, loss = 0.1745 [12.0s] train_loss = 0.2687 [5.7s]
Epoch 46 [14.1s + 30.1s]: HR = 0.7560, NDCG = 0.4753, loss = 0.1741 [11.9s] train_loss = 0.2681 [4.7s]
Epoch 47 [14.1s + 29.1s]: HR = 0.7567, NDCG = 0.4761, loss = 0.1748 [11.7s] train_loss = 0.2676 [4.4s]
Epoch 48 [14.1s + 30.0s]: HR = 0.7566, NDCG = 0.4762, loss = 0.1739 [12.2s] train_loss = 0.2670 [5.5s]
Epoch 49 [14.1s + 29.8s]: HR = 0.7573, NDCG = 0.4766, loss = 0.1747 [11.6s] train_loss = 0.2664 [5.3s]
Epoch 50 [14.1s + 29.7s]: HR = 0.7582, NDCG = 0.4772, loss = 0.1744 [13.1s] train_loss = 0.2658 [4.7s]
Epoch 51 [14.1s + 30.5s]: HR = 0.7585, NDCG = 0.4777, loss = 0.1729 [11.9s] train_loss = 0.2653 [4.7s]
Epoch 52 [14.1s + 30.5s]: HR = 0.7606, NDCG = 0.4784, loss = 0.1735 [12.2s] train_loss = 0.2647 [4.9s]
Epoch 53 [14.1s + 30.5s]: HR = 0.7612, NDCG = 0.4789, loss = 0.1733 [12.1s] train_loss = 0.2642 [4.7s]
Epoch 54 [14.1s + 29.8s]: HR = 0.7618, NDCG = 0.4797, loss = 0.1728 [12.9s] train_loss = 0.2637 [5.1s]
Epoch 55 [14.1s + 30.4s]: HR = 0.7618, NDCG = 0.4805, loss = 0.1729 [15.1s] train_loss = 0.2632 [5.2s]
Epoch 56 [14.1s + 33.3s]: HR = 0.7621, NDCG = 0.4809, loss = 0.1721 [13.2s] train_loss = 0.2627 [5.5s]
Epoch 57 [14.1s + 31.8s]: HR = 0.7621, NDCG = 0.4814, loss = 0.1710 [14.1s] train_loss = 0.2622 [6.1s]
Epoch 58 [14.1s + 29.7s]: HR = 0.7631, NDCG = 0.4819, loss = 0.1708 [12.9s] train_loss = 0.2617 [4.5s]
