lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 43 [13.7s + 26.4s]: HR = 0.7547, NDCG = 0.4735, loss =0.1758 [10.5740s] train_loss =0.2712 [4.2s]
Epoch 44 [13.7s + 26.6s]: HR = 0.7562, NDCG = 0.4744, loss =0.1749 [10.6799s] train_loss =0.2705 [4.2s]
Epoch 45 [13.7s + 26.7s]: HR = 0.7569, NDCG = 0.4751, loss =0.1735 [10.7329s] train_loss =0.2700 [4.1s]
Epoch 46 [13.7s + 26.6s]: HR = 0.7573, NDCG = 0.4757, loss =0.1745 [10.6399s] train_loss =0.2693 [4.3s]
Epoch 47 [13.7s + 26.6s]: HR = 0.7578, NDCG = 0.4766, loss =0.1738 [10.7738s] train_loss =0.2687 [4.1s]
Epoch 48 [13.7s + 26.7s]: HR = 0.7591, NDCG = 0.4770, loss =0.1739 [10.7898s] train_loss =0.2681 [4.2s]
Epoch 49 [13.7s + 26.7s]: HR = 0.7587, NDCG = 0.4776, loss =0.1721 [10.8428s] train_loss =0.2676 [4.2s]
Epoch 50 [13.7s + 26.5s]: HR = 0.7590, NDCG = 0.4779, loss =0.1749 [10.2901s] train_loss =0.2670 [4.1s]
Epoch 51 [13.7s + 25.6s]: HR = 0.7604, NDCG = 0.4785, loss =0.1718 [10.3081s] train_loss =0.2665 [4.0s]
Epoch 52 [13.7s + 25.7s]: HR = 0.7600, NDCG = 0.4786, loss =0.1733 [10.3981s] train_loss =0.2659 [4.1s]
Epoch 53 [13.7s + 25.8s]: HR = 0.7613, NDCG = 0.4794, loss =0.1716 [10.4360s] train_loss =0.2654 [4.0s]
Epoch 54 [13.7s + 25.8s]: HR = 0.7619, NDCG = 0.4800, loss =0.1708 [10.3551s] train_loss =0.2649 [4.0s]
Epoch 55 [13.7s + 25.8s]: HR = 0.7614, NDCG = 0.4801, loss =0.1717 [10.3701s] train_loss =0.2643 [4.1s]
Epoch 56 [13.7s + 26.0s]: HR = 0.7613, NDCG = 0.4804, loss =0.1718 [10.4346s] train_loss =0.2638 [4.0s]
Epoch 57 [13.7s + 26.0s]: HR = 0.7618, NDCG = 0.4808, loss =0.1714 [10.3941s] train_loss =0.2633 [4.1s]
Epoch 58 [13.7s + 25.9s]: HR = 0.7622, NDCG = 0.4816, loss =0.1724 [10.4810s] train_loss =0.2628 [4.1s]
Epoch 59 [13.7s + 29.1s]: HR = 0.7633, NDCG = 0.4822, loss =0.1709 [10.4370s] train_loss =0.2623 [4.1s]
Epoch 60 [13.7s + 26.2s]: HR = 0.7639, NDCG = 0.4829, loss =0.1710 [10.5060s] train_loss =0.2619 [4.1s]
Epoch 61 [13.7s + 26.2s]: HR = 0.7647, NDCG = 0.4835, loss =0.1708 [10.4181s] train_loss =0.2614 [4.1s]
Epoch 62 [13.7s + 26.2s]: HR = 0.7650, NDCG = 0.4839, loss =0.1701 [10.5140s] train_loss =0.2610 [4.1s]
Epoch 63 [13.7s + 26.3s]: HR = 0.7664, NDCG = 0.4844, loss =0.1715 [10.5769s] train_loss =0.2605 [4.0s]
Epoch 64 [13.7s + 26.5s]: HR = 0.7665, NDCG = 0.4848, loss =0.1706 [10.4950s] train_loss =0.2601 [4.1s]
Epoch 65 [13.7s + 26.8s]: HR = 0.7676, NDCG = 0.4852, loss =0.1698 [10.5879s] train_loss =0.2597 [4.0s]
