lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 43 [14.6s + 23.2s]: HR = 0.7094, NDCG = 0.4275, loss =0.0542 [10.7509s] train_loss =0.0181 [4.4s]
Epoch 44 [14.6s + 22.2s]: HR = 0.7091, NDCG = 0.4274, loss =0.0541 [11.2951s] train_loss =0.0176 [4.2s]
Epoch 45 [14.6s + 22.1s]: HR = 0.7089, NDCG = 0.4274, loss =0.0539 [10.8438s] train_loss =0.0170 [4.3s]
Epoch 46 [14.6s + 21.9s]: HR = 0.7083, NDCG = 0.4273, loss =0.0539 [10.7489s] train_loss =0.0165 [4.3s]
Epoch 47 [14.6s + 22.2s]: HR = 0.7073, NDCG = 0.4267, loss =0.0539 [10.8178s] train_loss =0.0160 [4.1s]
Epoch 48 [14.6s + 22.2s]: HR = 0.7073, NDCG = 0.4262, loss =0.0538 [10.8698s] train_loss =0.0156 [4.3s]
Epoch 49 [14.6s + 21.8s]: HR = 0.7068, NDCG = 0.4259, loss =0.0537 [10.6593s] train_loss =0.0152 [4.1s]
Epoch 50 [14.6s + 21.5s]: HR = 0.7070, NDCG = 0.4257, loss =0.0538 [10.4820s] train_loss =0.0148 [4.3s]
Epoch 51 [14.6s + 21.5s]: HR = 0.7068, NDCG = 0.4254, loss =0.0538 [10.8227s] train_loss =0.0144 [4.0s]
Epoch 52 [14.6s + 23.4s]: HR = 0.7065, NDCG = 0.4253, loss =0.0539 [10.8870s] train_loss =0.0140 [4.2s]
Epoch 53 [14.6s + 22.0s]: HR = 0.7066, NDCG = 0.4250, loss =0.0538 [10.9597s] train_loss =0.0137 [4.3s]
Epoch 54 [14.6s + 22.6s]: HR = 0.7058, NDCG = 0.4246, loss =0.0539 [10.7049s] train_loss =0.0133 [4.4s]
Epoch 55 [14.6s + 21.8s]: HR = 0.7055, NDCG = 0.4244, loss =0.0539 [10.7149s] train_loss =0.0130 [4.2s]
Epoch 56 [14.6s + 21.7s]: HR = 0.7051, NDCG = 0.4241, loss =0.0540 [10.5959s] train_loss =0.0127 [4.3s]
Epoch 57 [14.6s + 22.3s]: HR = 0.7049, NDCG = 0.4240, loss =0.0540 [11.7365s] train_loss =0.0124 [4.5s]
Epoch 58 [14.6s + 22.2s]: HR = 0.7046, NDCG = 0.4237, loss =0.0540 [11.5204s] train_loss =0.0121 [4.3s]
Epoch 59 [14.6s + 22.1s]: HR = 0.7041, NDCG = 0.4238, loss =0.0542 [10.6809s] train_loss =0.0119 [4.1s]
Epoch 60 [14.6s + 21.8s]: HR = 0.7039, NDCG = 0.4236, loss =0.0542 [10.7179s] train_loss =0.0116 [4.2s]
Epoch 61 [14.6s + 21.8s]: HR = 0.7031, NDCG = 0.4230, loss =0.0543 [10.6049s] train_loss =0.0113 [4.2s]
Epoch 62 [14.6s + 21.7s]: HR = 0.7031, NDCG = 0.4230, loss =0.0542 [10.8001s] train_loss =0.0111 [4.1s]
Epoch 63 [14.6s + 22.0s]: HR = 0.7032, NDCG = 0.4229, loss =0.0544 [10.6839s] train_loss =0.0109 [4.1s]
Epoch 64 [14.6s + 21.7s]: HR = 0.7031, NDCG = 0.4228, loss =0.0544 [10.6869s] train_loss =0.0107 [4.2s]
Epoch 65 [14.6s + 21.7s]: HR = 0.7024, NDCG = 0.4225, loss =0.0544 [10.6629s] train_loss =0.0104 [4.2s]
Epoch 66 [14.6s + 21.7s]: HR = 0.7020, NDCG = 0.4219, loss =0.0547 [10.6529s] train_loss =0.0102 [4.2s]
Epoch 67 [14.6s + 21.8s]: HR = 0.7018, NDCG = 0.4217, loss =0.0548 [10.6659s] train_loss =0.0100 [4.1s]
Epoch 68 [14.6s + 21.5s]: HR = 0.7018, NDCG = 0.4215, loss =0.0548 [10.6569s] train_loss =0.0098 [4.2s]
Epoch 69 [14.6s + 21.7s]: HR = 0.7014, NDCG = 0.4213, loss =0.0548 [10.5690s] train_loss =0.0097 [4.2s]
Epoch 70 [14.6s + 22.9s]: HR = 0.7013, NDCG = 0.4212, loss =0.0549 [11.3005s] train_loss =0.0095 [4.4s]
Epoch 71 [14.6s + 23.0s]: HR = 0.7014, NDCG = 0.4209, loss =0.0552 [12.3422s] train_loss =0.0093 [4.8s]
Epoch 72 [14.6s + 23.2s]: HR = 0.7019, NDCG = 0.4208, loss =0.0552 [10.7958s] train_loss =0.0091 [4.8s]
Epoch 73 [14.6s + 22.3s]: HR = 0.7015, NDCG = 0.4205, loss =0.0553 [10.5700s] train_loss =0.0090 [4.2s]
Epoch 74 [14.6s + 22.0s]: HR = 0.7016, NDCG = 0.4203, loss =0.0552 [10.5340s] train_loss =0.0088 [4.2s]
Epoch 75 [14.6s + 22.4s]: HR = 0.7017, NDCG = 0.4199, loss =0.0554 [12.0236s] train_loss =0.0087 [4.6s]
Epoch 76 [14.6s + 22.5s]: HR = 0.7014, NDCG = 0.4198, loss =0.0555 [11.0994s] train_loss =0.0085 [4.7s]
Epoch 77 [14.6s + 22.4s]: HR = 0.7013, NDCG = 0.4197, loss =0.0555 [10.9977s] train_loss =0.0084 [4.2s]
Epoch 78 [14.6s + 23.7s]: HR = 0.7011, NDCG = 0.4195, loss =0.0557 [11.8920s] train_loss =0.0082 [4.7s]
Epoch 79 [14.6s + 24.2s]: HR = 0.7008, NDCG = 0.4192, loss =0.0557 [12.5766s] train_loss =0.0081 [5.2s]
Epoch 80 [14.6s + 23.4s]: HR = 0.7003, NDCG = 0.4189, loss =0.0559 [11.6757s] train_loss =0.0080 [4.6s]
Epoch 81 [14.6s + 25.8s]: HR = 0.7001, NDCG = 0.4188, loss =0.0559 [11.9648s] train_loss =0.0079 [4.5s]
Epoch 82 [14.6s + 23.3s]: HR = 0.6997, NDCG = 0.4184, loss =0.0560 [11.3913s] train_loss =0.0077 [4.2s]
Epoch 83 [14.6s + 22.9s]: HR = 0.6996, NDCG = 0.4180, loss =0.0561 [11.0547s] train_loss =0.0076 [4.3s]
Epoch 84 [14.6s + 21.9s]: HR = 0.6994, NDCG = 0.4179, loss =0.0562 [10.5929s] train_loss =0.0075 [4.2s]
Epoch 85 [14.6s + 22.0s]: HR = 0.6995, NDCG = 0.4177, loss =0.0563 [11.2865s] train_loss =0.0074 [5.0s]
Epoch 86 [14.6s + 24.2s]: HR = 0.6996, NDCG = 0.4177, loss =0.0564 [10.7708s] train_loss =0.0073 [4.2s]
Epoch 87 [14.6s + 23.2s]: HR = 0.6995, NDCG = 0.4175, loss =0.0565 [12.3471s] train_loss =0.0072 [4.7s]
Epoch 88 [14.6s + 24.9s]: HR = 0.6992, NDCG = 0.4174, loss =0.0566 [11.4834s] train_loss =0.0071 [4.3s]
Epoch 89 [14.6s + 22.6s]: HR = 0.6984, NDCG = 0.4173, loss =0.0567 [10.9497s] train_loss =0.0070 [4.3s]
Epoch 90 [14.6s + 23.4s]: HR = 0.6980, NDCG = 0.4171, loss =0.0567 [11.0148s] train_loss =0.0069 [4.5s]
Epoch 91 [14.6s + 22.0s]: HR = 0.6980, NDCG = 0.4170, loss =0.0568 [11.3252s] train_loss =0.0068 [4.1s]
Epoch 92 [14.6s + 25.4s]: HR = 0.6979, NDCG = 0.4170, loss =0.0569 [13.9060s] train_loss =0.0067 [4.8s]
Epoch 93 [14.6s + 22.4s]: HR = 0.6975, NDCG = 0.4166, loss =0.0571 [10.6729s] train_loss =0.0066 [4.2s]
Epoch 94 [14.6s + 22.1s]: HR = 0.6976, NDCG = 0.4164, loss =0.0574 [10.6659s] train_loss =0.0065 [4.3s]
Epoch 95 [14.6s + 24.7s]: HR = 0.6973, NDCG = 0.4163, loss =0.0573 [10.7509s] train_loss =0.0064 [4.2s]
Epoch 96 [14.6s + 22.4s]: HR = 0.6967, NDCG = 0.4158, loss =0.0573 [11.6679s] train_loss =0.0063 [4.5s]
Epoch 97 [14.6s + 22.5s]: HR = 0.6965, NDCG = 0.4156, loss =0.0574 [10.6119s] train_loss =0.0063 [4.3s]
Epoch 98 [14.6s + 23.1s]: HR = 0.6965, NDCG = 0.4154, loss =0.0576 [12.2515s] train_loss =0.0062 [5.1s]
Epoch 99 [14.6s + 22.5s]: HR = 0.6960, NDCG = 0.4151, loss =0.0577 [10.6319s] train_loss =0.0061 [4.3s]
best HR = 0.7161, best NDCG = 0.4355


