lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 43 [18.1s + 27.3s]: HR = 0.7572, NDCG = 0.4757, loss =0.1760 [11.0059s] train_loss =0.2690 [4.2s]
Epoch 44 [18.1s + 35.1s]: HR = 0.7585, NDCG = 0.4763, loss =0.1743 [14.9923s] train_loss =0.2683 [6.4s]
Epoch 45 [18.1s + 31.5s]: HR = 0.7587, NDCG = 0.4769, loss =0.1761 [11.6746s] train_loss =0.2677 [4.9s]
Epoch 46 [18.1s + 28.5s]: HR = 0.7591, NDCG = 0.4775, loss =0.1741 [11.9002s] train_loss =0.2671 [4.4s]
Epoch 47 [18.1s + 28.3s]: HR = 0.7590, NDCG = 0.4780, loss =0.1743 [11.1836s] train_loss =0.2665 [4.5s]
Epoch 48 [18.1s + 27.5s]: HR = 0.7613, NDCG = 0.4793, loss =0.1737 [10.8008s] train_loss =0.2659 [4.2s]
Epoch 49 [18.1s + 26.8s]: HR = 0.7620, NDCG = 0.4796, loss =0.1728 [10.7744s] train_loss =0.2653 [4.2s]
Epoch 50 [18.1s + 30.9s]: HR = 0.7628, NDCG = 0.4803, loss =0.1734 [11.2311s] train_loss =0.2648 [4.4s]
Epoch 51 [18.1s + 31.5s]: HR = 0.7634, NDCG = 0.4807, loss =0.1734 [11.9489s] train_loss =0.2642 [5.6s]
Epoch 52 [18.1s + 29.0s]: HR = 0.7644, NDCG = 0.4814, loss =0.1724 [11.2179s] train_loss =0.2637 [4.8s]
Epoch 53 [18.1s + 34.3s]: HR = 0.7641, NDCG = 0.4815, loss =0.1729 [11.4467s] train_loss =0.2632 [4.4s]
Epoch 54 [18.1s + 29.2s]: HR = 0.7647, NDCG = 0.4819, loss =0.1730 [11.5933s] train_loss =0.2627 [4.4s]
Epoch 55 [18.1s + 28.5s]: HR = 0.7656, NDCG = 0.4826, loss =0.1718 [11.7093s] train_loss =0.2622 [4.7s]
Epoch 56 [18.1s + 29.4s]: HR = 0.7667, NDCG = 0.4833, loss =0.1723 [11.6963s] train_loss =0.2617 [4.7s]
Epoch 57 [18.1s + 28.7s]: HR = 0.7660, NDCG = 0.4830, loss =0.1713 [11.7061s] train_loss =0.2613 [4.6s]
